filename,temperature,label
1,23.0,safe_environment
2,23.0,safe_environment
3,24.0,safe_environment
4,25.0,safe_environment
5,25.0,safe_environment
6,25.0,safe_environment
7,25.0,safe_environment
8,26.0,safe_environment
9,26.0,safe_environment
10,26.0,safe_environment
11,26.0,safe_environment
12,26.0,safe_environment
13,26.0,safe_environment
14,27.0,safe_environment
15,27.0,safe_environment
16,27.0,safe_environment
17,27.0,safe_environment
18,27.0,safe_environment
19,27.0,safe_environment
20,27.0,safe_environment
21,27.0,safe_environment
22,27.0,safe_environment
23,27.0,safe_environment
24,27.0,safe_environment
25,27.0,safe_environment
26,27.0,safe_environment
27,27.0,safe_environment
28,27.0,safe_environment
29,27.0,safe_environment
30,27.0,safe_environment
31,27.0,safe_environment
32,27.0,safe_environment
33,27.0,safe_environment
34,27.0,safe_environment
35,27.0,safe_environment
36,27.0,safe_environment
37,27.0,safe_environment
38,27.0,safe_environment
39,27.0,safe_environment
40,27.0,safe_environment
41,27.0,safe_environment
42,27.0,safe_environment
43,27.0,safe_environment
44,27.0,safe_environment
45,27.0,safe_environment
46,27.0,safe_environment
47,27.0,safe_environment
48,27.0,safe_environment
49,27.0,safe_environment
50,27.0,safe_environment
51,27.0,safe_environment
52,27.0,safe_environment
53,27.0,safe_environment
54,27.0,safe_environment
55,27.0,safe_environment
56,27.0,safe_environment
57,27.0,safe_environment
58,27.0,safe_environment
59,27.0,safe_environment
60,27.0,safe_environment
